a1,a6,a7,a8,label
123,1.616666667,0.6992,1,1
124,1.183333333,0.5244,1,1
125,0.85,0.3496,1,1
126,0.133333333,0,0,1
127,28.41666667,0,0,1
128,60.15,0,0,1
129,0.166666667,0,0,1
130,14.71666667,5.244,1,1
131,0.6,0,0,1
132,0.1,0.1748,1,1
133,1,0.3496,1,1
134,3.516666667,0,0,1
135,3.2,1.2236,1,1
136,1,0.3496,1,1
137,1.616666667,0.6992,1,1
138,0.05,0.1748,1,1
139,7.466666667,0,0,1
140,1.816666667,0,0,1
141,1.5,0,0,1
142,1.066666667,0.5244,1,1
143,0.166666667,0.1748,1,1
144,60.95,0.3496,1,1
145,0.25,0.1748,1,1
146,2.416666667,0.874,1,1
147,0.216666667,0,0,1
148,4.633333333,0,0,1
149,0.666666667,0,0,1
150,0.6,0,0,1
151,0.283333333,0,0,1
152,81.5,0,0,1
153,3.5,0,0,1
154,2.216666667,0.874,1,1
155,10.71666667,0,0,1
156,0.783333333,0.3496,1,1
157,0.55,0.3496,1,1
158,1.216666667,0.5244,1,1
159,0.783333333,0.3496,1,1
160,3.5,1.2236,1,1
161,0.35,0,0,1
162,1,0.3496,1,1
163,0.216666667,0.1748,1,1
164,0.033333333,0.1748,1,1
165,0.1,0.1748,1,1
166,2.666666667,1.0488,1,1
167,2.6,1.0488,1,1
168,1.15,0,0,1
169,1.083333333,0.5244,1,1
170,4.416666667,0,0,1
171,0.35,0,0,1
172,0.35,0.1748,1,1
173,2.166666667,0.874,1,1
174,6.533333333,2.4472,1,1
175,1.366666667,0.5244,1,1
176,0.666666667,0.3496,1,1
177,0.216666667,0.1748,1,1
178,0.333333333,0.1748,1,1
179,9.733333333,0,0,1
180,11.88333333,0,0,1
181,70.43333333,24.6468,1,1
182,0.016666667,0.1748,1,1
183,0.166666667,0.1748,1,1
184,1.216666667,0.5244,1,1
185,0.833333333,0.3496,1,1
186,6.2,0,0,1
187,0.316666667,0.1748,1,1
188,1.583333333,0.6992,1,1
189,0.866666667,0.304,1,1
190,61.01666667,0.5244,1,1
191,0.133333333,0,0,1
192,2.883333333,1.0488,1,1
193,1.35,0.5244,1,1
194,0.633333333,0.3496,1,1
195,7.15,2.622,1,1
196,59.26666667,0,0,1
197,4.366666667,0,0,1
198,0.75,0,0,1
199,0.466666667,0,0,1
200,0.383333333,0.1748,1,1
201,5.683333333,2.0976,1,1
202,0.15,0.1748,1,1
203,3.483333333,0,0,1
204,0.533333333,0.3496,1,1
205,26.5,9.2644,1,1
206,3.5,1.2236,1,1
207,0.4,0,0,1
208,0.6,0,0,1
209,6.75,0,0,1
210,1.25,0.5244,1,1
211,0.266666667,0.1748,1,1
212,0.133333333,0.1748,1,1
213,0.266666667,0.1748,1,1
214,0.383333333,0,0,1
215,3.316666667,0,0,1
216,0.683333333,0.3496,1,1
217,0.583333333,0.3496,1,1
218,0.383333333,0,0,1
219,43.61666667,0,0,1
220,0.65,0,0,1
221,0.366666667,0,0,1
222,1.066666667,0,0,1
223,40.25,0,0,1
224,0.466666667,0,0,1
225,1.2,0,0,1
226,0.35,0.152,1,1
227,0.2,0.1748,1,1
228,0.25,0.1748,1,1
229,4.866666667,0,0,1
230,0.366666667,0,0,1
231,15,1.9228,1,1
232,62.18333333,0,0,1
233,0.933333333,0,0,1
234,23.5,8.2156,1,1
235,0.883333333,0.3496,1,1
236,0.466666667,0,0,1
237,0.75,0.3496,1,1
238,5.666666667,2.0976,1,1
239,0.833333333,0,0,1
240,2.633333333,0,0,1
241,1,0.3496,1,1
242,0.033333333,0,0,1
243,3.25,1.2236,1,1
244,0.866666667,0.3496,1,1
245,0.466666667,0,0,1
246,0.216666667,0.1748,1,1
247,0.25,0.1748,1,1
248,0.283333333,0,0,1
249,0.233333333,0.1748,1,1
250,0.816666667,0.3496,1,1
251,0.333333333,0.1748,1,1
252,11.61666667,0,0,1
253,0.433333333,0.1748,1,1
254,7.033333333,0,0,1
255,0.533333333,0,0,1
256,0.183333333,0,0,1
257,0.35,0,0,1
258,1.5,0.5244,1,1
259,0.016666667,0.1748,1,1
260,0.183333333,0.1748,1,1
261,0.066666667,0.1748,1,1
262,2.05,0.874,1,1
263,2.283333333,0.874,1,1
264,64.5,22.5492,1,1
265,0.5,0.1748,1,1
266,26.63333333,0,0,1
267,0.083333333,0,0,1
268,0.516666667,0.3496,1,1
269,28.5,9.9636,1,1
270,0.133333333,0.1748,1,1
271,9.616666667,0,0,1
272,0.75,0.3496,1,1
273,35.78333333,0,0,1
274,1.383333333,0.5244,1,1
275,3.583333333,1.3984,1,1
276,1.433333333,0,0,1
277,3.883333333,1.3984,1,1
278,0.316666667,0.1748,1,1
279,1.866666667,0.6992,1,1
280,1.1,0.5244,1,1
281,0.183333333,0.1748,1,1
282,0.766666667,0.3496,1,1
283,0.033333333,0,0,1
284,0.666666667,0.3496,1,1
285,2.05,0.874,1,1
286,0.366666667,0.1748,1,1
287,5.233333333,1.9228,1,1
288,26.46666667,0,0,1
289,0.533333333,0,0,1
290,3.883333333,0,0,1
291,1.35,0,0,1
292,0.483333333,0.1748,1,1
293,0.7,0.3496,1,1
294,13.51666667,0,0,1
295,0.3,0.1748,1,1
296,1.566666667,0,0,1
297,1.183333333,0,0,1
298,0.6,0,0,1
299,7.766666667,2.7968,1,1
300,0.166666667,0,0,1
301,1.766666667,0,0,1
302,0.7,0,0,1
303,0.716666667,0,0,1
304,1.233333333,0,0,1
305,4.25,1.5732,1,1
306,0.75,0.3496,1,1
307,30.03333333,0.6992,1,1
308,6.316666667,2.2724,1,1
309,1.466666667,0,0,1
310,1.066666667,0.5244,1,1
311,1.733333333,0.6992,1,1
312,45.65,0,0,1
313,58.85,0,0,1
314,56,0,0,1
315,0.566666667,0.3496,1,1
316,3.083333333,1.2236,1,1
317,0.666666667,0.3496,1,1
318,0.033333333,0,0,1
319,4,1.3984,1,1
320,0.483333333,0.1748,1,1
321,24.85,0,0,1
322,5.666666667,2.0976,1,1
323,0.3,0.1748,1,1
324,2.25,0,0,1
325,1.65,0.6992,1,1
326,0.183333333,0.1748,1,1
327,0.3,0.1748,1,1
328,0.016666667,0,0,1
329,0.316666667,0.1748,1,1
330,0.433333333,0.1748,1,1
331,0.716666667,0.3496,1,1
332,0.466666667,0,0,1
333,1.716666667,0.6992,1,1
334,2.9,1.0488,1,1
335,0.783333333,0,0,1
336,0.033333333,0.1748,1,1
337,1.916666667,0,0,1
338,0.2,0.1748,1,1
339,1.266666667,0.5244,1,1
340,0.316666667,0,0,1
341,0.35,0.1748,1,1
342,0.833333333,0.3496,1,1
343,8.35,2.9716,1,1
344,11.23333333,0,0,1
345,4.033333333,0,0,1
346,0.466666667,0.1748,1,1
347,0.1,0.1748,1,1
348,2.083333333,0,0,1
349,0.933333333,0.3496,1,1
350,16.43333333,0,0,1
351,3.066666667,1.2236,1,1
352,1.883333333,0,0,1
353,0.833333333,0.3496,1,1
354,1.983333333,0.6992,1,1
355,68,2.7968,1,1
356,0.483333333,0.1748,1,1
357,0.316666667,0.1748,1,1
358,0.166666667,0.1748,1,1
359,8.533333333,3.1464,1,1
360,0.55,0,0,1
361,0.45,0,0,1
362,1.166666667,0.2,1,1
363,65.88333333,0,0,1
364,11.98333333,0,0,1
365,14.5,0,0,1
366,0.033333333,0,0,1
367,6,2.0976,1,1
368,0.283333333,0.1748,1,1
369,0.533333333,0,0,1
370,0.35,0.1748,1,1
371,1.133333333,0.5244,1,1
372,1.566666667,0.6992,1,1
373,7.633333333,2.7968,1,1
374,1.516666667,0.6992,1,1
375,59.46666667,20.8012,1,1
376,0.483333333,0.1748,1,1
377,0.366666667,0.1748,1,1
378,0.133333333,0.1748,1,1
379,2.45,0.874,1,1
380,0.65,0.3496,1,1
381,0.033333333,0,0,1
382,0.016666667,0.1748,1,1
383,0.95,0.3496,1,1
384,0.6,0.3496,1,1
385,16.98333333,5.9432,1,1
386,2.883333333,0,0,1
387,0.366666667,0,0,1
388,2.733333333,1.0488,1,1
389,0.7,0.3496,1,1
390,19.68333333,6.992,1,1
391,2.683333333,1.0488,1,1
392,4.45,1.5732,1,1
393,0.5,0.1748,1,1
394,0.333333333,0.1748,1,1
395,1.783333333,0.6992,1,1
396,30.91666667,10.8376,1,1
397,0.433333333,0.1748,1,1
398,22.21666667,0,0,1
399,0.783333333,0.3496,1,1
400,4.2,0,0,1
401,82.15,25.08,1,1
402,2.433333333,0.874,1,1
403,0.7,0.3496,1,1
404,0.25,0,0,1
405,0.483333333,0.1748,1,1
406,4.466666667,0,0,1
407,16.5,3.3212,1,1
408,0.133333333,0.1748,1,1
409,1.633333333,0,0,1
410,8.666666667,0,0,1
411,0.083333333,0.1748,1,1
412,0.966666667,0,0,1
413,0.033333333,0.1748,1,1
414,4.016666667,0,0,1
415,0.5,0.1748,1,1
416,0.5,0.1748,1,1
417,4.75,1.748,1,1
418,0.966666667,0.3496,1,1
419,6.716666667,0,0,1
420,0.166666667,0.1748,1,1
421,21.73333333,7.6912,1,1
422,8,0,0,1
423,4.166666667,0,0,1
424,0.05,0.1748,1,1
425,0.5,0.1748,1,1
426,29.55,5.0692,1,1
427,0.116666667,0,0,1
428,3.5,1.2236,1,1
429,0.016666667,0.1748,1,1
430,0.9,0.3496,1,1
431,5.233333333,1.9228,1,1
432,0.35,0.1748,1,1
433,66.38333333,5.0692,1,1
434,11.98333333,4.1952,1,1
435,5.133333333,0,0,1
436,0.433333333,0.1748,1,1
437,1.216666667,0.5244,1,1
438,1.016666667,0,0,1
439,0.666666667,0,0,1
440,0.266666667,0.1748,1,1
441,91,31.8136,1,1
442,0.15,0.1748,1,1
443,0.333333333,0,0,1
444,1.233333333,0.5244,1,1
445,0.366666667,0.1748,1,1
446,3.9,1.3984,1,1
447,0.7,0.3496,1,1
448,0.75,0.3496,1,1
449,0.5,0.1748,1,1
450,0.2,0.1748,1,1
451,0.733333333,0.3496,1,1
452,0.216666667,0,0,1
453,1.983333333,0.6992,1,1
454,0.566666667,0,0,1
455,0.05,0,0,1
456,1.5,0,0,1
457,0.366666667,0,0,1
458,2.433333333,0,0,1
459,1.066666667,0.5244,1,1
460,0.066666667,0.1748,1,1
461,0.016666667,0.1748,1,1
462,0.166666667,0.1748,1,1
463,0.016666667,0,0,1
464,2.1,0.874,1,1
465,59.5,20.8012,1,1
466,2.35,0.874,1,1
467,0.95,0.3496,1,1
468,1.3,0.5244,1,1
469,3.116666667,0,0,1
470,1.783333333,0.6992,1,1
471,0.066666667,0.1748,1,1
472,10.03333333,3.6708,1,1
473,0.716666667,0,0,1
474,0.616666667,0.3496,1,1
475,8.633333333,0,0,1
476,0.133333333,0.1748,1,1
477,0.133333333,0.1748,1,1
478,4.416666667,0,0,1
479,1.566666667,0.6992,1,1
480,0.416666667,0.1748,1,1
481,6.65,2.4472,1,1
482,1.1,0,0,1
483,28.36666667,0,0,1
484,0.516666667,0.3496,1,1
485,0.3,0.1748,1,1
486,0.366666667,0,0,1
487,18.05,0,0,1
488,1.083333333,0.5244,1,1
489,0.266666667,0.1748,1,1
490,0.35,0.1748,1,1
491,0.55,0.3496,1,1
492,0.1,0,0,1
493,6.633333333,2.4472,1,1
494,1.283333333,0.5244,1,1
495,0.616666667,0.3496,1,1
496,1.766666667,0.6992,1,1
497,2.55,1.0488,1,1
498,0.733333333,0.3496,1,1
499,0.2,0.1748,1,1
500,0.266666667,0.1748,1,1
501,0.516666667,0.3496,1,1
502,22.03333333,0,0,1
503,0.2,0.1748,1,1
504,0.383333333,0.1748,1,1
505,6.716666667,2.4472,1,1
506,0.366666667,0.1748,1,1
507,2.016666667,0,0,1
508,11.31666667,0,0,1
509,0.033333333,0.1748,1,1
510,20.35,0,0,1
511,1,0,0,1
512,0.666666667,0.3496,1,1
513,0.8,0,0,1
514,1.066666667,0.5244,1,1
515,0.05,0,0,1
516,0.2,0.1748,1,1
517,0.65,0,0,1
518,0.033333333,0,0,1
519,7.283333333,0,0,1
520,7.033333333,0,0,1
521,28.13333333,0,0,1
522,16.98333333,5.9432,1,1
523,1.916666667,0,0,1
524,0.766666667,0.3496,1,1
525,0.2,0.1748,1,1
526,0.75,0.3496,1,1
527,0.383333333,0.1748,1,1
528,2.783333333,1.0488,1,1
529,0.6,0.3496,1,1
530,0.333333333,0.1748,1,1
531,0.433333333,0,0,1
532,1.566666667,0,0,1
533,0.416666667,0.1748,1,1
534,6.1,0.5244,1,1
535,0.283333333,0,0,1
536,0.116666667,0.1748,1,1
537,5.616666667,0,0,1
538,0.083333333,0.1748,1,1
539,0.466666667,0.1748,1,1
540,1.816666667,0.6992,1,1
541,0.133333333,0.1748,1,1
542,0.616666667,0.3496,1,1
543,0.9,0.3496,1,1
544,1.083333333,0.5244,1,1
545,1.333333333,0.5244,1,1
546,1.283333333,0.5244,1,1
547,0.2,0.1748,1,1
548,0.466666667,0,0,1
549,0.566666667,0.3496,1,1
550,0.166666667,0,0,1
551,4.233333333,1.5732,1,1
552,1.233333333,0.5244,1,1
553,2.633333333,0,0,1
554,0.016666667,0.1748,1,1
555,1.716666667,0,0,1
556,1.15,0.3496,1,1
557,0.416666667,0,0,1
558,0.183333333,0,0,1
559,0.016666667,0,0,1
560,0.45,0.1748,1,1
561,31.6,11.1872,1,1
562,14.21666667,0,0,1
563,0.55,0.3496,1,1
564,3.216666667,0,0,1
565,0.066666667,0.1748,1,1
566,1.8,0,0,1
567,1.116666667,0.5244,1,1
568,2.466666667,0.874,1,1
569,0.016666667,0.1748,1,1
570,3,0,0,1
571,0.65,0,0,1
572,71,24.8216,1,1
573,0.516666667,0.3496,1,1
574,0.266666667,0.1748,1,1
575,0.683333333,0.3496,1,1
576,4.3,1.5732,1,1
577,3.533333333,0,0,1
578,0.133333333,0.1748,1,1
579,2.1,0,0,1
580,1.633333333,0,0,1
581,0.283333333,0.1748,1,1
582,0.216666667,0.1748,1,1
583,0.683333333,0.3496,1,1
584,1.016666667,0.5244,1,1
585,9.033333333,0,0,1
586,0.5,0.1748,1,1
587,3.55,1.3984,1,1
588,0.7,0.3496,1,1
589,1.05,0,0,1
590,8.766666667,0,0,1
591,7.416666667,2.622,1,1
592,1.233333333,0.5244,1,1
593,0.233333333,0.1748,1,1
594,3.683333333,0,0,1
595,22.38333333,0,0,1
596,4.9,0,0,1
597,0.166666667,0.152,1,1
598,0.016666667,0.1748,1,1
599,2.15,0,0,1
600,4.933333333,0,0,1
601,2.766666667,1.0488,1,1
602,11.63333333,0,0,1
603,1.766666667,0,0,1
604,13.45,0,0,1
605,14.5,5.0692,1,1
606,0.65,0.3496,1,1
607,0.55,0.3496,1,1
608,1.316666667,0.5244,1,1
609,3.883333333,1.3984,1,1
610,0.566666667,0.3496,1,1
611,0.5,0.1748,1,1
612,93.41666667,0,0,1
613,0.916666667,0.3496,1,1
614,0.416666667,0.1748,1,1
615,0.033333333,0,0,1
616,0.516666667,0.3496,1,1
617,0.85,0,0,1
618,1.9,0.6992,1,1
619,0.25,0.1748,1,1
620,0.5,0,0,1
621,0.133333333,0.1748,1,1
622,2.433333333,0.874,1,1
623,3.583333333,1.3984,1,1
624,0.7,0,0,1
625,0.116666667,0.1748,1,1
626,0.133333333,0.1748,1,1
627,3.35,1.2236,1,1
628,0.766666667,0.3496,1,1
629,0.366666667,0.1748,1,1
630,13.68333333,0,0,1
631,8.983333333,0,0,1
632,4.683333333,0,0,1
633,1.35,0.5244,1,1
634,2.283333333,0,0,1
635,0.666666667,0,0,1
636,0.25,0,0,1
637,0.35,0.1748,1,1
638,0.266666667,0.1748,1,1
639,29.2,0,0,1
640,0.3,0.1748,1,1
641,0.433333333,0,0,1
642,12.1,1.3984,1,1
643,5.8,2.0976,1,1
644,0.383333333,0.1748,1,1
645,0.033333333,0.1748,1,1
646,0.5,0.1748,1,1
647,0.266666667,0.1748,1,1
648,1.466666667,0.5244,1,1
649,0.4,0.1748,1,1
650,3.283333333,1.2236,1,1
651,1.316666667,0,0,1
652,0.616666667,0.3496,1,1
653,0.266666667,0.1748,1,1
654,0.433333333,0.1748,1,1
655,0.35,0.1748,1,1
656,0.05,0.1748,1,1
657,2.583333333,1.0488,1,1
658,0.25,0,0,1
659,0.333333333,0.1748,1,1
660,2.616666667,1.0488,1,1
661,0.2,0,0,1
662,0.233333333,0,0,1
663,0.516666667,0.3496,1,1
664,7,0.6992,1,1
665,1.733333333,0.6992,1,1
666,0.016666667,0.1748,1,1
667,0.983333333,0.3496,1,1
668,5.5,0,0,1
669,2.316666667,0,0,1
670,2.266666667,0,0,1
671,1.05,0.5244,1,1
672,1,0.3496,1,1
673,0.533333333,0.3496,1,1
674,62,0.6992,1,1
675,1.283333333,0,0,1
676,1,0,0,1
677,1.266666667,0,0,1
678,0.4,0.1748,1,1
679,0.1,0.1748,1,1
680,2.816666667,0,0,1
681,0.416666667,0.1748,1,1
682,1.766666667,0.6992,1,1
683,110.9166667,0,0,1
684,0.666666667,0,0,1
685,0.283333333,0.1748,1,1
686,59.5,0,0,1
687,0.766666667,0.3496,1,1
688,2.25,0.874,1,1
689,31.45,0,0,1
690,1.566666667,0,0,1
691,1.45,0.5244,1,1
692,4.733333333,1.748,1,1
693,0.883333333,0,0,1
694,0.583333333,0.3496,1,1
695,1.533333333,0.6992,1,1
696,0.65,0,0,1
697,31.55,11.1872,1,1
698,0.216666667,0.2,1,1
699,2.166666667,0.874,1,1
700,15.5,5.4188,1,1
701,2.266666667,0.874,1,1
702,1.533333333,0,0,1
703,0.7,0.3496,1,1
704,0.583333333,0.3496,1,1
705,2.7,1.0488,1,1
706,0.383333333,0.1748,1,1
707,13.71666667,0,0,1
708,2.316666667,0,0,1
709,7.766666667,2.7968,1,1
710,1.183333333,0.5244,1,1
711,3.333333333,0,0,1
712,0.983333333,0.3496,1,1
713,37.5,13.11,1,1
714,18.6,6.6424,1,1
715,0.183333333,0.1748,1,1
716,26.45,9.2644,1,1
717,13.2,0,0,1
718,1.4,0.5244,1,1
719,1.116666667,0.5244,1,1
720,1.216666667,0,0,1
721,0.466666667,0.1748,1,1
722,6.55,2.4472,1,1
723,3.5,0,0,1
724,1.25,0.5244,1,1
725,0.983333333,0.3496,1,1
726,21.96666667,2.0976,1,1
727,0.616666667,0.3496,1,1
728,55.58333333,0,0,1
729,12.41666667,0,0,1
730,0.016666667,0.1748,1,1
731,0.216666667,0.1748,1,1
732,4.383333333,1.5732,1,1
733,12.16666667,0,0,1
734,2.066666667,0.76,1,1
735,34.31666667,0,0,1
736,0.2,0,0,1
737,22,0.874,1,1
738,0.9,0.3496,1,1
739,0.016666667,0.1748,1,1
740,0.733333333,0,0,1
741,5,0,0,1
742,4.066666667,1.5732,1,1
743,0.583333333,0.3496,1,1
744,1.866666667,0.6992,1,1
745,2.666666667,1.0488,1,1
746,0.15,0.1748,1,1
747,0.566666667,0.3496,1,1
748,8.1,2.9716,1,1
749,0.183333333,0.1748,1,1
750,0.016666667,0.1748,1,1
751,1.033333333,0.5244,1,1
752,120,0,0,1
753,10.21666667,0,0,1
754,1.233333333,0.5244,1,1
755,1.066666667,0.5244,1,1
756,1.333333333,0.5244,1,1
757,13.46666667,0,0,1
758,0.483333333,0.1748,1,1
759,41.95,0,0,1
760,0.233333333,0.1748,1,1
761,0.433333333,0,0,1
762,0.8,0,0,1
763,0.683333333,0,0,1
764,0.1,0,0,1
765,0.333333333,0,0,1
766,0.633333333,0,0,1
767,1.416666667,0.5244,1,1
768,2.883333333,1.0488,1,1
769,14.5,5.0692,1,1
770,0.166666667,0.1748,1,1
771,7.633333333,2.7968,1,1
772,0.95,0.3496,1,1
773,0.533333333,0.3496,1,1
774,0.016666667,0,0,1
775,0.866666667,0.3496,1,1
776,1.083333333,0.5244,1,1
777,0.816666667,0.3496,1,1
778,0.15,0,0,1
779,0.2,0.1748,1,1
780,1.416666667,0.5244,1,1
781,1.066666667,0.5244,1,1
782,0.233333333,0.1748,1,1
783,4.35,0,0,1
784,0.783333333,0.3496,1,1
785,9.716666667,0,0,1
786,0.133333333,0.1748,1,1
787,18.5,0.5244,1,1
788,0.016666667,0.1748,1,1
789,0.35,0.1748,1,1
790,15.51666667,0,0,1
791,0.266666667,0.1748,1,1
792,0.1,0,0,1
793,1.616666667,0.6992,1,1
794,0.016666667,0.1748,1,1
795,1.766666667,0.6992,1,1
796,0.35,0.1748,1,1
797,41,0,0,1
798,0.416666667,0,0,1
799,0.883333333,0,0,1
800,0.15,0.1748,1,1
801,1.133333333,0.5244,1,1
802,0.983333333,0.3496,1,1
803,0.433333333,0,0,1
804,0.216666667,0.1748,1,1
805,0.2,0.1748,1,1
806,0.1,0,0,1
807,4.45,0,0,1
808,0.316666667,0.1748,1,1
809,91,12.4108,1,1
810,27.5,9.614,1,1
811,0.233333333,0.1748,1,1
812,0.183333333,0.003,1,1
813,2.633333333,1.0488,1,1
814,0.45,0.1748,1,1
815,0.416666667,0.1748,1,1
816,2.35,0.874,1,1
817,66.95,0,0,1
818,0.916666667,0.3496,1,1
819,0.95,0,0,1
820,2.85,1.0488,1,1
821,1.5,0,0,1
822,1.183333333,0,0,1
823,0.466666667,0,0,1
824,0.9,0.3496,1,1
825,0.65,0,0,1
826,0.016666667,0.1748,1,1
827,0.7,0,0,1
828,0.433333333,0.1748,1,1
829,2.7,0,0,1
830,0.183333333,0,0,1
831,20,6.992,1,1
832,0.366666667,0,0,1
833,0.1,0.1748,1,1
834,2.633333333,0,0,1
835,0.05,0.1748,1,1
836,0.366666667,0,0,1
837,11.06666667,4.0204,1,1
838,0.533333333,0,0,1
839,0.433333333,0.1748,1,1
840,0.116666667,0.1748,1,1
841,1.383333333,0.5244,1,1
842,6,2.0976,1,1
843,0.266666667,0.1748,1,1
844,4.466666667,1.5732,1,1
845,0.5,0.1748,1,1
846,12,4.1952,1,1
847,0.266666667,0.1748,1,1
848,28.3,1.2236,1,1
849,0.666666667,0,0,1
850,3.233333333,1.2236,1,1
851,28.95,0,0,1
852,2.1,0,0,1
853,8.083333333,0,0,1
854,0.35,0.1748,1,1
855,0.233333333,0.1748,1,1
856,0.516666667,0.3496,1,1
857,0.283333333,0.1748,1,1
858,3.183333333,0,0,1
859,2,0,0,1
860,1.016666667,0.5244,1,1
861,0.316666667,0,0,1
862,25.4,0,0,1
863,0.133333333,0.1748,1,1
864,1.65,0,0,1
865,8.5,2.9716,1,1
866,0.083333333,0.1748,1,1
867,0.016666667,0.1748,1,1
868,0.033333333,0,0,1
869,0.233333333,0.1748,1,1
870,5.933333333,0,0,1
871,0.016666667,0,0,1
872,0.05,0.1748,1,1
873,0.966666667,0,0,1
874,1.433333333,0.5244,1,1
875,0.45,0.1748,1,1
876,1.366666667,0,0,1
877,0.45,0,0,1
878,3.133333333,1.2236,1,1
879,5.95,0,0,1
880,0.683333333,0.3496,1,1
881,1.35,0,0,1
882,0.15,0,0,1
883,1.316666667,0.5244,1,1
884,0.2,0,0,1
885,0.25,0.1748,1,1
886,0.783333333,0,0,1
887,1.5,0.5244,1,1
888,0.55,0.3496,1,1
889,21.96666667,0,0,1
890,0.033333333,0,0,1
891,0.216666667,0.1748,1,1
892,0.7,0.3496,1,1
893,0.433333333,0,0,1
894,2.333333333,0.874,1,1
895,0.616666667,0,0,1
896,0.2,0.1748,1,1
897,0.066666667,0,0,1
898,0.35,0.1748,1,1
899,9.5,3.3212,1,1
900,0.166666667,0.1748,1,1
901,0.333333333,0,0,1
902,1,0,0,1
903,1.533333333,0.6992,1,1
904,1.283333333,0.5244,1,1
905,1.95,0.6992,1,1
906,0.2,0.1748,1,1
907,0.483333333,0.1748,1,1
908,0.233333333,0.1748,1,1
909,0.233333333,0.1748,1,1
910,0.266666667,0.1748,1,1
911,1.316666667,0.5244,1,1
912,0.55,0,0,1
913,1.483333333,0,0,1
914,0.216666667,0.1748,1,1
915,0.133333333,0.1748,1,1
916,0.833333333,0.17,1,1
917,0.616666667,0.3496,1,1
918,1.016666667,0.5244,1,1
919,0.716666667,0,0,1
920,0.566666667,0.3496,1,1
921,0.75,0,0,1
922,0.15,0.1748,1,1
923,0.15,0.1748,1,1
924,0.266666667,0,0,1
925,0.133333333,0,0,1
